datetime	caudal
2016-09-30	10.95
2016-10-01	8.50
2016-10-02	9.73
2016-10-03	7.27
2016-10-04	17.08
2016-10-05	25.04
2016-10-06	25.04
2016-10-07	26.27
2016-10-08	18.92
2016-10-09	10.34
2016-10-10	12.18
2016-10-11	29.95
2016-10-12	17.08
2016-10-13	10.95
2016-10-14	9.73
2016-10-19	8.50
2016-11-05	29.33
2016-11-06	41.59
2016-11-07	13.40
2016-11-11	14.01
2016-11-12	18.30
2016-11-29	10.34
2016-11-30	33.01
2016-12-01	23.21
2016-12-02	13.40
2016-12-03	10.95
2016-12-04	7.27
2016-12-16	10.95
2016-12-17	17.08
2017-01-02	13.40
2017-01-03	12.18
2017-01-06	20.75
2017-01-07	18.92
2017-01-08	14.63
2017-01-10	19.53
2017-01-11	28.11
2017-01-12	16.47
2017-01-13	14.01
2017-01-14	15.24
2017-01-15	41.59
2017-01-16	23.21
2017-01-17	10.95
2017-01-30	44.65
2017-01-31	25.04
2017-02-01	13.40
2017-02-02	9.73
2017-02-03	8.50
2017-02-04	10.34
2017-02-05	10.34
2017-02-06	12.79
2017-02-07	14.63
2017-02-08	9.73
2017-02-11	38.52
2017-02-12	13.40
2017-02-22	18.30
2017-02-23	18.30
2017-02-24	27.50
2017-02-25	36.07
2017-02-27	46.49
2017-02-28	26.88
2017-03-01	17.08
2017-03-02	23.21
2017-03-03	18.92
2017-03-04	13.40
2017-03-05	11.56
2017-03-06	7.89
2017-03-08	7.27
2017-03-10	11.56
2017-03-11	13.40
2017-03-12	9.73
2017-03-14	25.66
2017-03-16	43.43
2017-03-17	21.98
2017-03-18	25.04
2017-03-19	26.27
2017-03-20	28.72
2017-03-21	24.43
2017-03-22	18.30
2017-03-23	14.63
2017-03-24	12.79
2017-03-25	14.63
2017-03-26	23.82
2017-03-27	33.62
2017-03-28	20.75
2017-03-29	47.72
2017-03-30	36.69
2017-03-31	47.72
2017-04-01	44.04
2017-04-02	25.66
2017-04-03	17.08
2017-04-04	13.40
2017-04-05	10.95
2017-04-06	12.18
2017-04-07	21.37
2017-04-08	14.63
2017-04-09	11.56
2017-04-10	18.92
2017-04-11	18.30
2017-04-12	15.24
2017-04-16	43.43
2017-04-17	33.62
2017-04-18	19.53
2017-04-19	20.14
2017-04-22	36.07
2017-04-23	22.59
2017-04-24	18.30
2017-04-25	17.08
2017-04-26	23.82
2017-04-27	27.50
2017-04-28	16.47
2017-04-29	21.98
2017-05-01	36.07
2017-05-02	29.33
2017-05-03	18.92
2017-05-04	40.36
2017-05-05	28.11
2017-05-06	20.14
2017-05-07	30.56
2017-05-08	16.47
2017-05-09	16.47
2017-05-10	18.92
2017-05-11	17.69
2017-05-12	15.85
2017-05-13	17.69
2017-05-15	46.49
2017-05-16	37.91
2017-05-17	28.72
2017-05-18	21.98
2017-05-19	15.85
2017-05-20	14.01
2017-05-21	15.85
2017-05-22	18.30
2017-05-23	15.24
2017-05-24	12.18
2017-05-25	31.78
2017-05-27	33.62
2017-05-28	20.14
2017-05-29	18.30
2017-05-30	11.56
2017-05-31	17.69
2017-06-01	22.59
2017-06-02	12.18
2017-06-03	17.69
2017-06-06	38.52
2017-06-07	17.69
2017-06-08	12.18
2017-06-09	13.40
2017-06-10	10.95
2017-06-11	15.24
2017-06-12	9.73
2017-06-13	45.88
2017-06-16	37.91
2017-06-17	20.75
2017-06-18	14.63
2017-06-19	11.56
2017-06-20	33.01
2017-06-22	34.85
2017-06-23	19.53
2017-06-24	14.01
2017-06-25	11.56
2017-06-26	12.18
2017-06-27	10.34
2017-06-28	13.40
2017-06-29	23.82
2017-06-30	18.30
2017-07-01	16.47
2017-07-02	26.27
2017-07-04	31.78
2017-07-05	25.04
2017-07-06	37.91
2017-07-09	50.17
2017-07-10	28.72
2017-07-11	18.30
2017-07-12	14.01
2017-07-13	11.56
2017-07-14	9.73
2017-07-15	7.89
2017-07-16	7.27
2017-07-17	26.27
2017-07-20	35.46
2017-07-21	17.69
2017-07-22	12.79
2017-07-23	16.47
2017-07-24	10.95
2017-07-27	45.26
2017-07-28	9.11
2017-07-29	14.01
2017-07-31	27.46
2017-08-01	22.96
2017-08-02	20.71
2017-08-03	20.71
2017-08-04	25.21
2017-08-05	25.66
2017-08-06	23.86
2017-08-07	26.11
2017-08-08	49.05
2017-08-09	28.81
2017-08-10	21.16
2017-08-11	18.91
2017-08-12	16.66
2017-08-13	15.76
2017-08-14	16.66
2017-08-15	15.76
2017-08-16	14.41
2017-08-17	13.96
2017-08-18	13.06
2017-08-19	13.96
2017-08-20	13.06
2017-08-21	18.01
2017-08-22	28.36
2017-08-23	22.96
2017-08-24	15.31
2017-08-25	14.41
2017-08-26	18.46
2017-08-27	14.41
2017-08-28	19.81
2017-08-29	22.96
2017-08-30	24.76
2017-08-31	18.46
2017-09-01	15.31
