basin;code;name;latitude;longitude;elevation;comid;river;location1;location2;alert
GUAYAS;H0394;EMBARCADERO EN H.CLEM(POT-STA.ROSA);-1.70625;-79.393768;18;9029165;;LOS RIOS;BABAHOYO;R0
GUAYAS;H0399;COLIMES EN POTRERILLOS;-1.550417;-80.067917;15;9028709;RIO COLIMES;GUAYAS;COLIMIES;R0
GUAYAS;H0400;PEDRO CARBO EN PEDRO CARBO;-1.81875;-80.227083;65;9029670;RIO PEDRO CARBO;GUAYAS;PEDRO CARBO;R0
GUAYAS;H0401;PULA EN LA LAUREL;-1.782369;-79.902369;6;9029952;RIO PULA;GUAYAS;SALITRE;R0
GUAYAS;H0402;CONGO EN PTE.CARRETERA;-1.03875;-79.695417;30;9027610;RIO CONGO;GUAYAS;EMPALME;R0
GUAYAS;H0407;PULA EN PALIZADA;-1.648764;-79.867916;16;9029233;RIO PULA;GUAYAS;SALITRE;R0
GUAYAS;H0414;TOACHI AJ BABA;-0.67625;-79.36125;151;9025671;RIO TOACHI;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;R0
GUAYAS;H0415;SAN PABLO EN LA MANA;-0.93798;-79.223813;238;9026532;RIO SAN PABLO;COTOPAXI;LA MANA;R0
GUAYAS;H0418;SUQUIBI AJ NAVES;-1.284583;-79.319583;0;9027762;RIO SUQUIBI;BOLIVAR;LAS NAVES;R0
ZAPOTAL;H0434;VALDIVIA EN EL SUSPIRO;-1.895278;-80.629722;0;9030051;RIO CALIFORNIA;SANTA ELENA;SANTA ELENA;R0
TAURA;H0447;BULUBULU AJ PAYO;-2.292917;-79.50125;40;9031564;RIO BULUBULU;GUAYAS;EL TRIUNFO;R0
TAURA;H0448;PAYO AJ BULUBULU;-2.281667;-79.504167;25;9031320;;GUAYAS;CORONEL MARCELINO MARIDUENA;R0
CANAR;H0466;SILANTE EN INGAPIRCA;-2.539167;-78.881667;2709;9032257;RIO SILANTE;CANAR;CANAR;R0
CANAR;H0467;VENDELECHE EN HDA.LA CURIA;-2.582084;-78.872916;3020;9032495;RIO VENDE LECHE;CANAR;CANAR;R0
CANAR;H0468;SAN PEDRO EN INGAPIRCA;-2.583749;-78.843499;2700;9032405;RIO SAN PEDRO;CANAR;CANAR;R0
CANAR;H0471;CANAR DJ RAURA;-2.482744;-79.154411;870;9032090;RIO CANAR;CANAR;CANAR;R0
CANAR;H0472;CANAR EN PTO.INCA;-2.547498;-79.556665;25;9032436;;GUAYAS;NARANJAL;R0
BALAO;H0503;TENGUEL EN TENGUEL;-2.990416;-79.787;10;9033987;RIO TENGUEL;GUAYAS;GUAYAQUIL;R0
BALAO;H0504;SIETE EN PTE.CARRETERA;-3.07674;-79.752545;13;9034278;RIO MACHALERA;AZUAY;CAMILO PONCE ENRIQUEZ;R0
BALAO;H0505;PAGUA EN PTE.CARRETERA;-3.08737;-79.758505;13;9034353;;EL ORO;EL GUABO;R0
BALAO;H0506;PAGUA AJ BONITO(AJ SIETE);-3.084735;-79.780265;30;9034353;;EL ORO;EL GUABO;R0
BALAO;H0507;BONITO EN PTE.CARRETERA(AJ PAGUA);-3.106923;-79.766842;30;9034353;;EL ORO;EL GUABO;R0
BALAO;H0508;CHAGUANA EN PTE.CARRETERA;-3.20375;-79.797083;5;9035091;;EL ORO;EL GUABO;R0
JUBONES;H0526;PAQUISHAPA EN PTE.CARRETERA;-3.617917;-79.211995;2206;9036512;RIO PAQUISHAPA;LOJA;SARAGURO;R0
JUBONES;H0527;LEON EN PTE.CARRETERA;-3.418841;-79.158829;2020;9035775;RIO LEON;AZUAY;ONA;R0
JUBONES;H0528;JUBONES DJ MINAS;-3.267083;-79.232917;1120;9035149;RIO RIRCAY;AZUAY;SANTA ISABEL;R0
JUBONES;H0529;JUBONES DJ S.FRANCISCO;-3.310405;-79.51124;712;9035285;RIO JUBONES;EL ORO;ZARUMA;R0
