index,basin,code,name,latitude,longitude,elevation,comidant,comid,river,loc1,loc2,loc3,alert
166,PASTAZA,H0800,PASTAZA EN BANOS,-1.39375,-78.4245829999999,1841,142552,9028091,Pastaza,Tungurahua,Banos De Agua Santa,Banos De Agua Santa,R0
167,PASTAZA,H0801,AMBATO EN AMBATO,-1.26124999346,-78.6626469095999,2680,142432,9027591,Ambato,Tungurahua,Ambato,Quisapincha,R0
168,PASTAZA,H0817,PATATE DJ AMBATO,-1.234651,-78.536184,2243,142550,9028087,Patate,Tungurahua,Santiago De Pillaro,Emilio Maria Teran (Rumipamba),R0
169,PASTAZA,H0839,MUYO  AJ PASTAZA,-1.36858569609,-78.4027523752999,1700,142528,9028041,Verde Chico,Tungurahua,Banos De Agua Santa,Ulba,R0
170,PASTAZA,H0854,CUTUCHI EN CASPI,-0.74375,-78.607083,2930,141776,9025994,Cutuchi,Cotopaxi,Latacunga,Mulalo,R0
171,PASTAZA,H0857,ILLUCHI AJ CUTUCHI (CVA AMBATO),-0.982917,-78.6020829999999,2712,0,9026657,Lluchi,Cotopaxi,Latacunga,Belisario Quevedo (Guanailin),R0
172,PASTAZA,H0860,AMBATO EN MARCOPAMBA,-1.2829166602,-78.7412500061,2960,142432,9027661,Ambato,Tungurahua,Ambato,San Fernando,R0
173,PASTAZA,H0863,ALAQUEZ EN PUENTE (LAIGUA),-0.860503558095,-78.6071702368,0,141777,9026346,Alaquez,Cotopaxi,Latacunga,Alaquez,R0
174,SANTIAGO,H0881,BOMBOIZA AJ ZAMORA,-3.415206,-78.496036,549,145878,9035769,Bomboiza,Morona Santiago,Gualaquiza,Gualaquiza,R0
175,SANTIAGO,H0883,TUTANANGOSA EN SUCUA,-2.46541665956,-78.176250006,1572,144276,9032142,Tutanangosa,Morona Santiago,Sucua,Asuncion,R0
176,SANTIAGO,H0884,ZAMORA AJ BOMBOIZA,-3.413089,-78.4802439999999,548,146025,9036156,Zamora,Morona Santiago,Gualaquiza,Bomboiza,R0
177,SANTIAGO,H0885,NANGARITZA AJ ZAMORA,-3.919594,-78.680417,870,147503,9038185,Nangaritza,Zamora Chinchipe,Paquisha,Paquisha,R0
178,SANTIAGO,H0886,SABANILLA AJ ZAMORA,-4.037917,-79.008747,1080,147035,9038539,Sabanilla,Zamora Chinchipe,Zamora,Sabanilla,R0
179,SANTIAGO,H0887,YACUAMBI AJ ZAMORA,-3.915418,-78.8494809999999,961,146779,9037867,Yacuambi,Zamora Chinchipe,Zamora,Guadalupe,R0
180,SANTIAGO,H0888,ZAMORA DJ S.FRANCISCO,-3.955417,-79.027917,1590,146999,9038312,Zamora,Zamora Chinchipe,Zamora,Sabanilla,R0
181,SANTIAGO,H0889,ZAMORA DJ SABANILLA (EN ZAMORA),-4.06375,-78.95125,902,147071,9038463,Zamora,Zamora Chinchipe,Zamora,Zamora,R0
182,SANTIAGO,H0890,ZAMORA D.J. NANGARITZA,-3.764583,-78.6412499999999,890,146438,9037137,Zamora,Zamora Chinchipe,Yantzaza,Los Encuentros,R0
183,SANTIAGO,H0892,MAZAR AJ PAUTE,-2.57375,-78.6462499999999,2126,144412,9032447,Mazar,Canar,Azogues,Rivera,R0
184,SANTIAGO,H0893,YANUNCAY AJ TARQUI,-2.91412813756,-79.0117051943,2500,145043,9033988,Yanuncay,Azuay,Cuenca,Cuenca,R0
185,SANTIAGO,H0894,PAUTE EN PAUTE(DJ GUALACEO),-2.761291,-78.739625,2104,144847,9033441,Paute,Azuay,Paute,Dug Dug,R0
186,SANTIAGO,H0895,TOMEBAMBA EN MONAY,-2.896224,-78.9678849999999,2353,144934,9033646,Tomebamba,Azuay,Cuenca,Cuenca,R0
187,SANTIAGO,H0896,MATADERO EN SAYAUSI,-2.878003,-79.0686639999999,2602,144933,9033645,Tomebamba,Azuay,Cuenca,San Joaquin,R0
188,SANTIAGO,H0899,SAN FRANCISCO EN GUALACEO,-2.895417,-78.7712499999999,2400,0,9033647,San Francisco,Azuay,Gualaceo,Luis Cordero Vega,R0
189,SANTIAGO,H0900,PAUTE AJ DUDAS,-2.689604,-78.6245789999999,2000,144596,9032911,Paute,Azuay,Sevilla De Oro,Palmas,R0
190,SANTIAGO,H0901,CANAL SAYMIRIN,-2.76030633153,-79.0120833388999,2900,144885,9033537,Machangara,Azuay,Cuenca,Checa,R0
191,SANTIAGO,H0902,DUDAS EN PINDILIG,-2.62875,-78.670417,2450,144478,9032588,Dudas,Canar,Azogues,Pindilig,R0
192,SANTIAGO,H0905,MACHANGARA AJ CHULCO,-2.73642458092,-79.0037500058,2915,0,9033537,Machangara,Azuay,Cuenca,Checa,R0
193,SANTIAGO,H0906,JUVAL AJ PAUTE,-2.47874999302,-78.6029166720999,1950,144344,9032294,Juval,Canar,Azogues,Rivera,R0
