index,comid,latitude,longitude,river,loc0,loc1,loc2,alert
193,9022535,0.31075,-79.48972,Rio Quinin,Esmeraldas,ESMERALDAS,QUININDE,R0
194,9022551,0.32683,-77.09446,,,,,R0
195,9022552,0.30499,-76.1282,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
196,9022557,0.2939,-77.1197,Rio La Ber,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
197,9022565,0.28896,-77.17347,Rio Bocach,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
198,9022569,0.28826,-77.05948,,,,,R0
199,9022581,0.28768,-79.50471,Rio Quinin,Esmeraldas,ESMERALDAS,QUININDE,R0
200,9022593,0.28604,-77.01692,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
201,9022613,0.29717,-79.06604,Rio Guayll,Imbabura y,PICHINCHA,PEDRO VICE,R0
202,9022626,0.275,-76.99125,,,,,R0
203,9022665,0.31729,-78.94899,Rio Naranj,Imbabura,IMBABURA,COTACACHI,R0
204,9022666,0.27226,-77.05264,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
205,9022672,0.3101,-79.89642,Rio Cojimi,Esmeraldas,ESMERALDAS,MUISNE,R0
206,9022675,0.27716,-79.55202,Rio Arenan,Esmeraldas,ESMERALDAS,QUININDE,R0
207,9022676,0.26852,-79.52413,Rio Arenan,Esmeraldas,ESMERALDAS,QUININDE,R0
208,9022690,0.31438,-78.24611,Rio Ambi,Imbabura,IMBABURA,COTACACHI,R0
209,9022694,0.26003,-76.79409,Rios San M,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
210,9022698,0.25005,-78.28652,Rio Blanco,Imbabura,IMBABURA,OTAVALO,R0
211,9022703,0.26455,-76.75436,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
212,9022710,0.2649,-76.9417,Rios San M,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
213,9022714,0.25185,-79.93524,,Manabi,MANABI,PEDERNALES,R0
214,9022715,0.29025,-77.95034,Rio Pisque,Imbabura,IMBABURA,PIMAMPIRO,R0
215,9022716,0.2875,-78.75804,Rio Magdal,Imbabura,IMBABURA,COTACACHI,R0
216,9022718,0.25046,-76.82703,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
217,9022728,0.24635,-76.86928,Rios San M,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
218,9022730,0.28137,-79.13198,Rio Pitzar,Pichincha,PICHINCHA,PUERTO QUITO,R0
219,9022731,0.26926,-79.47286,Rio Corre,Esmeraldas,ESMERALDAS,QUININDE,R0
220,9022732,0.27997,-79.4175,Rio Blanco,Esmeraldas,ESMERALDAS,QUININDE,R0
221,9022733,0.24204,-79.34934,,Pichincha,PICHINCHA,PUERTO QUITO,R0
222,9022742,0.2396,-78.76033,Rio Guayll,Imbabura y,IMBABURA,COTACACHI,R0
223,9022747,0.24492,-79.90204,Rio Mache,Manabi,MANABI,PEDERNALES,R0
224,9022755,0.252,-79.01529,Rio Guayll,Imbabura y,IMBABURA,COTACACHI,R0
225,9022772,0.33398,-77.49515,Rio Chingu,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
226,9022775,0.26672,-77.25687,Rio Zaraya,Sucumbios,SUCUMBIOS,CASCALES,R0
227,9022776,0.25859,-77.17025,Rio La Ber,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
228,9022777,0.2334,-79.33453,Rio Inga,Pichincha,PICHINCHA,PUERTO QUITO,R0
229,9022778,0.26169,-76.6589,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
230,9022787,0.25231,-78.89332,Rio Mandur,Imbabura,IMBABURA,COTACACHI,R0
231,9022789,0.22847,-78.73427,Rio Guayll,Imbabura y,IMBABURA,COTACACHI,R0
232,9022790,0.23845,-78.69855,Rio Chalgu,Imbabura,IMBABURA,COTACACHI,R0
233,9022791,0.24219,-76.53801,Rios San M,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
234,9022801,0.28212,-78.57804,Rio Intag,Imbabura,IMBABURA,COTACACHI,R0
235,9022808,0.21855,-78.7096,Rio Guayll,Imbabura y,IMBABURA,COTACACHI,R0
236,9022809,0.22206,-78.59471,Rio Pamplo,Imbabura y,PICHINCHA,QUITO,R0
237,9022819,0.23731,-76.36106,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
238,9022821,0.2311,-78.84881,Rio Guayll,Imbabura y,PICHINCHA,QUITO,R0
239,9022832,0.2222,-79.01895,Rio San Di,Pichincha,PICHINCHA,PEDRO VICE,R0
240,9022833,0.22022,-78.68667,Rio Guayll,Imbabura y,PICHINCHA,QUITO,R0
241,9022838,0.24622,-79.50787,Rio Quinin,Esmeraldas,ESMERALDAS,QUININDE,R0
242,9022843,0.25406,-75.98489,,,,,R0
243,9022847,0.30799,-78.10114,Rio Tahuan,Imbabura,IMBABURA,IBARRA,R0
244,9022856,0.21299,-78.64766,Rio Intag,Imbabura y,IMBABURA,COTACACHI,R0
245,9022859,0.23157,-77.28397,Rio La Ber,Sucumbios,SUCUMBIOS,CASCALES,R0
246,9022861,0.2286,-77.73752,El Dorado,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
247,9022868,0.21696,-78.97963,Rio Guayll,Imbabura y,IMBABURA,COTACACHI,R0
248,9022869,0.21275,-78.9345,Rio Guayll,Imbabura y,PICHINCHA,QUITO,R0
249,9022876,0.22717,-79.58218,Rio Santim,Esmeraldas,ESMERALDAS,QUININDE,R0
250,9022897,0.22818,-78.23502,Rio Jatuny,Imbabura,IMBABURA,OTAVALO,R0
